Title,Company,Experience,Salary,Location,Description,Tags,Posting Day,job_link,salary_clean,salary_norm,exp_clean,exp_norm,location_clean,loc_mumbai,loc_bengaluru,loc_pune,loc_hyderabad,loc_gurugram,loc_chennai,loc_kolkata,loc_coimbatore,loc_noida,loc_ahmedabad
R&R FS -Java Developer-Manager,Pricewaterhouse Coopers Private Limited,9-13 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad, Gurugram, Bengaluru",Experience . 9-13 years of experience in Java Development Extensive Java full stack pro...,"automation,data analysis,mysql,consulting,agile,data structures,stored procedures,oracle",1 Day Ago,https://www.naukri.com/job-listings-r-r-fs-java-developer-manager-pricewaterhouse-coopers-private-limited-kolkata-mumbai-hyderabad-gurugram-bengaluru-9-to-13-years-181224505434,12.218579234972678,0.19549726775956283,11.0,0.44,kolkata,0,0,0,0,0,0,1,0,0,0
GN- Comms & Media - Media - Consultant,Accenture,1-6 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",Certification profession in PSM / CSM/SAFe / ICP-ACCExperience in the role of Functiona...,"kanban,confluence,content planning,scrum,safe,rally,jira,consulting",1 Day Ago,https://www.naukri.com/job-listings-gn-comms-media-media-consultant-accenture-solutions-pvt-ltd-mumbai-gurugram-bengaluru-1-to-6-years-181224907464,12.218579234972678,0.19549726775956283,3.5,0.14,mumbai,1,0,0,0,0,0,0,0,0,0
GN-High Tech-SAP Platforms-07 - Professional,Accenture,7-12 Yrs,Not disclosed,Mumbai,MBA from Tier 1 and 2 business school . 7 - 15 years of SAP S4 HANA MM / SD/PP / QM/ eW...,"project management,sap,sd,ibp,ewm,management consulting,emerging technologies,subject matter expertise",1 Day Ago,https://www.naukri.com/job-listings-gn-high-tech-sap-platforms-07-professional-accenture-solutions-pvt-ltd-mumbai-7-to-12-years-181224918221,12.218579234972678,0.19549726775956283,9.5,0.38,mumbai,1,0,0,0,0,0,0,0,0,0
Manager - Assurance - FS - ASU - TR,EY,5-8 Yrs,Not disclosed,Mumbai,". - Risk and control assessments considering emerging technologies such as cloud, RPA, ...","data migration,sap,us gaap,external audit,consulting,data quality,asset management,ifrs",1 Day Ago,https://www.naukri.com/job-listings-manager-assurance-fs-asu-tr-ernst-young-mumbai-5-to-8-years-181224504500,12.218579234972678,0.19549726775956283,6.5,0.26,mumbai,1,0,0,0,0,0,0,0,0,0
GN - StrategyMC - Direct MaterialsConsultant,Accenture,2-5 Yrs,Not disclosed,Mumbai,BE or BTech from Tier 1 engineering institutes and MBA from Tier 1 B-school. 2-5 years ...,"presentation skills,power bi,alteryx,supply chain management,consumer goods,management consulting,hi,accounts payable",2 Days Ago,https://www.naukri.com/job-listings-gn-strategymc-direct-materialsconsultant-accenture-solutions-pvt-ltd-mumbai-2-to-5-years-171224915922,12.218579234972678,0.19549726775956283,3.5,0.14,mumbai,1,0,0,0,0,0,0,0,0,0
HR Apprentice,Deutsche Bank,0-1 Yrs,Not disclosed,"Mumbai, Pune, Bengaluru",Role DescriptionAn Apprentice is an employee on a formal apprenticeship programme. Work...,"recruitment,talent management,screening,sourcing,management",1 Day Ago,https://www.naukri.com/job-listings-hr-apprentice-deutsche-bank-ag-mumbai-pune-bengaluru-0-to-1-years-181224907480,12.218579234972678,0.19549726775956283,0.5,0.02,mumbai,1,0,0,0,0,0,0,0,0,0
GN_SAP Platform _ Products - Solution Architect_ CL6,Accenture,10-14 Yrs,Not disclosed,"Mumbai, Pune, Gurugram",From delivery perspective - candidate must have experience of executing and managing co...,"presentation skills,sales,sap platform,sap s hana,solution design,erp,sap,supply chain",7 Days Ago,https://www.naukri.com/job-listings-gn-sap-platform-products-solution-architect-cl6-accenture-solutions-pvt-ltd-mumbai-pune-gurugram-10-to-14-years-111224921984,12.218579234972678,0.19549726775956283,12.0,0.48,mumbai,1,0,0,0,0,0,0,0,0,0
GN_SAP Platform _ Resources - Solution Architect_ CL6,Accenture,10-15 Yrs,Not disclosed,"Mumbai, Pune, Gurugram","S&C GN SAP Platform Manager, Senior ManagerFind endless opportunities to solve our clie...","presentation skills,sales,sap platform,sap s hana,solution design,erp,sap,supply chain",7 Days Ago,https://www.naukri.com/job-listings-gn-sap-platform-resources-solution-architect-cl6-accenture-solutions-pvt-ltd-mumbai-pune-gurugram-10-to-15-years-111224921656,12.218579234972678,0.19549726775956283,12.5,0.5,mumbai,1,0,0,0,0,0,0,0,0,0
BITs Intern,Deutsche Bank,0-1 Yrs,Not disclosed,"Mumbai, Pune",. We build talented and diverse teams to drive business results and encourage our peopl...,"financial modeling,relationship building,it strategy,finance,financial modelling,building,relationship,modeling",1 Day Ago,https://www.naukri.com/job-listings-bits-intern-deutsche-bank-ag-mumbai-pune-0-to-1-years-181224907487,12.218579234972678,0.19549726775956283,0.5,0.02,mumbai,1,0,0,0,0,0,0,0,0,0
Spark Scala Developer,Cognizant,4-6 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune, Bangalore Rural",Develop scalable and efficient algorithms for processing large datasets using Scala pro...,"scala,spark,spark streaming,development,streams,streaming",Few Hours Ago,https://www.naukri.com/job-listings-spark-scala-developer-cognizant-hyderabad-pune-bangalore-rural-4-to-6-years-191224011110,12.218579234972678,0.19549726775956283,5.0,0.2,hyderabad,0,0,0,1,0,0,0,0,0,0
Tech Mahindra Hiring Delivery sales/Delivery Business operation,Tech Mahindra,3-8 Yrs,10-16 Lacs PA,"Hyderabad, Pune, Bengaluru",Preferred candidate profile . .,"delivery sales operations management,collate and compile delivery operational metrics,operational efficiency,forecasting and planning,data analysis and reporting,team support and training,working closely with bu heads,performance monitoring",1 Day Ago,https://www.naukri.com/job-listings-tech-mahindra-hiring-delivery-sales-delivery-business-operation-tech-mahindra-hyderabad-pune-bengaluru-3-to-8-years-181224017426,13.0,0.208,5.5,0.22,hyderabad,0,0,0,1,0,0,0,0,0,0
Assistant Manager (QM Electricals & Instrumentation),KSB Pumps Limited,8-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Preferably certified Auditor for IMS - QMS / EMS / OH&S . Knowledge / skills required P...,"grn,sap qm module,analytical,inspection,instrumentation,hrd,new product development,ims",30+ Days Ago,https://www.naukri.com/job-listings-assistant-manager-qm-electricals-instrumentation-ksb-pumps-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-8-to-12-years-130723501546,12.218579234972678,0.19549726775956283,10.0,0.4,kolkata,0,0,0,0,0,0,1,0,0,0
