Title,Company,Experience,Salary,Location,Description,Tags,Posting Day,job_link
Associate_ SQL + Snowflake _D&A_Advisory,Pricewaterhouse Coopers Private Limited,3-8 Yrs,Not disclosed,Bengaluru,Ingest data into snowflake using various connectors and pipes in realtime and batch Des...,"Product management, Assurance, Business transformation, Data management, Performance management, Analytical, Agile, Business intelligence",1 Day Ago,https://www.naukri.com/job-listings-associate-sql-snowflake-d-a-advisory-pricewaterhouse-coopers-private-limited-bengaluru-3-to-8-years-181224505348
"SENIOR, SOFTWARE ENGINEER",Walmart,8-13 Yrs,Not disclosed,Bengaluru,"years of relevant experience on on J2EE, Distributed Database, Kafka with solid hands-o...","Networking, Information security, SEZ, Data structures, J2Ee, Data mining, Open source, Information technology",1 Day Ago,https://www.naukri.com/job-listings-senior-software-engineer-walmart-labs-bengaluru-8-to-13-years-181224504979
Senior Manager - Data Engineering,Visa,8-13 Yrs,Not disclosed,Bengaluru,8+ years of relevant work experience with a Bachelor s Degree or at least 5 years of ex...,"Operational excellence, Coding, RDBMS, Project management, Machine learning, Data mining, Open source, Distribution system",1 Day Ago,https://www.naukri.com/job-listings-senior-manager-data-engineering-visa-inc-bengaluru-8-to-13-years-181224504919
Sr. Backend Developer (JAVA & Spring Boot),Siemens,5-8 Yrs,Not disclosed,Bengaluru,Being a graduate with a BE / BTech degree or equivalent experience in Computer Science ...,"spring boot, Backend, OOAD, Analytical, Debugging, JDBC, Scheduling, SDLC",1 Day Ago,https://www.naukri.com/job-listings-sr-backend-developer-java-spring-boot-siemens-limited-bengaluru-5-to-8-years-181224504905
Data Engineering - Qlik Developer - Senior Associate,Pricewaterhouse Coopers Private Limited,5-10 Yrs,Not disclosed,Bengaluru,Minimum Degree Required Bachelors degree in Engineering . . Certification in Qlik is a...,"Data analysis, Automation, Data modeling, Analytical, Data collection, data integrity, QlikView, Data mining",1 Day Ago,https://www.naukri.com/job-listings-data-engineering-qlik-developer-senior-associate-pricewaterhouse-coopers-private-limited-bengaluru-5-to-10-years-181224504896
Data Engineer - Qlik Developer - Senior Associate,Pricewaterhouse Coopers Private Limited,5-10 Yrs,Not disclosed,Bengaluru,Minimum Degree Required Bachelors degree in Engineering . . Certification in Qlik is a...,"Data analysis, Automation, Data modeling, Analytical, Data collection, data integrity, QlikView, Data mining",1 Day Ago,https://www.naukri.com/job-listings-data-engineer-qlik-developer-senior-associate-pricewaterhouse-coopers-private-limited-bengaluru-5-to-10-years-181224504895
"PRINCIPAL, TECHNICAL PROGRAM MANAGER",Walmart,17-20 Yrs,Not disclosed,Bengaluru,Drives the execution of multiple business plans and projects by identifying customer a...,"Product management, Networking, Project management, Consulting, Agile, Business strategy, Business solutions, Operations",1 Day Ago,https://www.naukri.com/job-listings-principal-technical-program-manager-walmart-labs-bengaluru-17-to-20-years-181224504607
Senior Certification and Compliance Engineer,Volvo Financial Services,3-5 Yrs,Not disclosed,Bengaluru,Join our design shift that leaves society in good shape for the next generation. Profil...,"Powertrain, SCR, Compliance, Engine design, Focus, Construction equipment, Engineering Manager, data privacy",1 Day Ago,https://www.naukri.com/job-listings-senior-certification-and-compliance-engineer-volvo-asset-finance-india-private-limited-bengaluru-3-to-5-years-181224504442
Dot Net Developer Professional,Volvo Financial Services,5-8 Yrs,Not disclosed,Bengaluru,Transport is at the core of modern society. Imagine using your expertise to shape sus...,"Automation, Application support, Coding, OWASP, Javascript, data privacy, MVC, Continuous improvement",1 Day Ago,https://www.naukri.com/job-listings-dot-net-developer-professional-volvo-asset-finance-india-private-limited-bengaluru-5-to-8-years-181224504440
SALES & MARKETING ANALYST IV,TE Connectivity India,3-7 Yrs,Not disclosed,Bengaluru,Proficient in all Microsoft Office applications as well as CRM software . Critical Expe...,"Market development, B2B, Sales, Renewable energy, Aerospace, Wellness, RFQ, Key account management",1 Day Ago,https://www.naukri.com/job-listings-sales-marketing-analyst-iv-te-connectivity-india-private-limited-bengaluru-3-to-7-years-181224504168
R&D/PRODUCT DVL ENGINEER II,TE Connectivity India,4-7 Yrs,Not disclosed,Bengaluru,The RD / Product Development Engineering Teams provide all required product documentati...,"Fabrication, Prototype, FEA, Simulation, Sheet metal, Packaging, Six sigma certified, Sensors",1 Day Ago,https://www.naukri.com/job-listings-r-d-product-dvl-engineer-ii-te-connectivity-india-private-limited-bengaluru-4-to-7-years-181224504166
Testing-WAM Functional-Staff,EY,2-5 Yrs,Not disclosed,Bengaluru,"As a Business Tester, you will be accountable responsible to Prepare test...","Automation, Consulting, Javascript, Agile, Investment banking, SyBase, Android, CRM",1 Day Ago,https://www.naukri.com/job-listings-testing-wam-functional-staff-ernst-young-bengaluru-2-to-5-years-181224504006
Testing-BCM Functional-Senior,EY,5-8 Yrs,Not disclosed,Bengaluru,"Candidate should have knowledge on Banking - cards, payments, Retail banking, Online co...","System testing, Automation, Test scripts, Consulting, Test planning, Test cases, JIRA, Monitoring",1 Day Ago,https://www.naukri.com/job-listings-testing-bcm-functional-senior-ernst-young-bengaluru-5-to-8-years-181224504005
Frontend Developer,Weir,3-5 Yrs,Not disclosed,Bengaluru,Frontend Developer Weir Group Location Bangalore /Hybrid Purpose of Role...,"Computer science, Front end, Javascript, Manager Technology, Workflow, HTML, Customer service, Unit testing",1 Day Ago,https://www.naukri.com/job-listings-frontend-developer-weir-minerals-bengaluru-3-to-5-years-181224503711
Backend Developer,Weir,4-10 Yrs,Not disclosed,Bengaluru,"The Back End developer is required to analyze requirements, develop and test featuresSk...","Computer science, NUnit, Access management, Powershell, Customer service, MVC, Unit testing, Troubleshooting",1 Day Ago,https://www.naukri.com/job-listings-backend-developer-weir-minerals-bengaluru-4-to-10-years-181224503710
Dot Net Software Engineer Professional,Volvo Financial Services,5-7 Yrs,Not disclosed,Bengaluru,"Professional .NET developer with strong development experience in the .NET Core, ReactJ...","SQL database, Focus, devops, Construction equipment, Equity, Entity framework, ASP.Net, data privacy",1 Day Ago,https://www.naukri.com/job-listings-dot-net-software-engineer-professional-volvo-asset-finance-india-private-limited-bengaluru-5-to-7-years-181224502671
Sr. UX Designer,Siemens,5-8 Yrs,Not disclosed,Bengaluru,"Being proficient with UX design process, Lean UX methodologies . Possessing knowledge w...","Interpersonal skills, Illustrator, Interaction design, Javascript, Siemens, HTML, Photoshop, Individual Contributor",1 Day Ago,https://www.naukri.com/job-listings-sr-ux-designer-siemens-limited-bengaluru-5-to-8-years-181224502577
Lead UX Designer,Siemens,6-10 Yrs,Not disclosed,Bengaluru,"Being proficient with UX design process, Lean UX methodologies . Possessing knowledge w...","Interpersonal skills, Illustrator, Interaction design, Javascript, Siemens, HTML, Photoshop, Individual Contributor",1 Day Ago,https://www.naukri.com/job-listings-lead-ux-designer-siemens-limited-bengaluru-6-to-10-years-181224502565
Senior - SAP-HCM-Payroll,KPMG India,4-7 Yrs,Not disclosed,Hyderabad,"Bachelor s degree or higher in Information Technology, Bu...","Payroll, SAP HCM, Networking, Information technology, international clients, SAP, Technology, Senior",1 Day Ago,https://www.naukri.com/job-listings-senior-sap-hcm-payroll-kpmg-india-hyderabad-4-to-7-years-181224502536
Assistant Manager - Google Cloud Platform,KPMG India,4-9 Yrs,Not disclosed,Bengaluru,Develop and optimize complex SQL queries and data pipelines using BigQuery for efficien...,"Performance tuning, query optimization, Data modeling, Analytical, Machine learning, Data processing, Unit testing, Business intelligence",1 Day Ago,https://www.naukri.com/job-listings-assistant-manager-google-cloud-platform-kpmg-india-bengaluru-4-to-9-years-181224502521
Remote Support Engineer,Schneider Electric,3-5 Yrs,Not disclosed,Bengaluru,Ensure shift handover process is followed correctly and open cases are transferred to p...,"Training, Circuit breakers, Data management, Operating system installation, Management, Remote support, Technical support, Monitoring",1 Day Ago,https://www.naukri.com/job-listings-remote-support-engineer-schneider-electric-india-pvt-ltd-bengaluru-3-to-5-years-181224501539
"STAFF, TECHNICAL PROGRAM MANAGER",Walmart,12-17 Yrs,Not disclosed,Bengaluru,Position Summary... ...,"Computer science, Product management, Networking, Project management, Consulting, Agile, Business strategy, Business solutions",1 Day Ago,https://www.naukri.com/job-listings-staff-technical-program-manager-walmart-labs-bengaluru-12-to-17-years-181224500852
Technical Recruiter,Abhibus,3-8 Yrs,Not disclosed,Hyderabad,It is the only company in India that specializes in providing Online Reservation System...,"Talent acquisition, Database management, Analytical, Machine learning, Manager Technology, E-commerce, microsoft, Information technology",1 Day Ago,https://www.naukri.com/job-listings-technical-recruiter-abhibus-services-india-pvt-ltd-hyderabad-3-to-8-years-181224500621
Sr. Associate For SAP ABAP,Genpact,2-7 Yrs,Not disclosed,Hyderabad,". . . . . . . Should be conversant with different Workflow Administration, Workflow Con...","Unix, Business objects, SAP, Project management, Javascript, Workflow, Troubleshooting, ABAP",1 Day Ago,https://www.naukri.com/job-listings-sr-associate-for-sap-abap-headstrong-genpact-hyderabad-2-to-7-years-181224500462
TR-Staff,EY,3-6 Yrs,Not disclosed,Bengaluru,Conduct performance reviews and contribute to performance feedback for staff. . . To qu...,"Unix, Data analysis, Automation, Assurance, French, SAP, Consulting, German",1 Day Ago,https://www.naukri.com/job-listings-tr-staff-ernst-young-bengaluru-3-to-6-years-181224500346
